"symbol","name","protocol","icon","mainnet","testnet","decimals"
"APOLLO",,"Apollo","https://finder.extraterrestrial.money/images/APOLLO60.png","terra100yeqvww74h4yaejj6h733thgcafdaukjtw397",
"bLuna",,"Anchor","https://whitelist.anchorprotocol.com/logo/bLUNA.png","terra1kc87mu460fwkqte29rquh4hc20m54fxwtsx7gp","terra1u0t35drzyy0mujj8rkdyzhe264uls4ug3wdp3x",
"bETH",,"Anchor","https://whitelist.anchorprotocol.com/logo/bETH.png","terra1dzhzukyezv0etz22ud940z7adyv7xgcjkahuun","terra19mkj9nec6e3y5754tlnuz4vem7lzh4n0lc2s3l",
"aUST",,"Anchor","https://whitelist.anchorprotocol.com/logo/aUST.png","terra1hzh9vpxhsk8253se0vv5jj6etdvxu3nv8z07zu","terra1ajt556dpzvjwl0kl5tzku3fc3p3knkg9mkv8jl",
"ANC",,"Anchor","https://whitelist.anchorprotocol.com/logo/ANC.png","terra14z56l0fp2lsf86zy3hty2z47ezkhnthtr9yq76","terra1747mad58h0w4y589y3sk84r5efqdev9q4r02pc",
"MARS",,"Mars","https://marsprotocol.io/mars_logo_colored.svg","terra1a7zxk56c72elupp7p44hn4k94fsvavnhylhr6h",,
"MIR",,"Mirror","https://whitelist.mirror.finance/icon/MIR.png","terra15gwkyepfc6xgca5t5zefzwy42uts8l2m4g40k6","terra10llyp6v3j3her8u3ce66ragytu45kcmd9asj3u",
"mAAPL",,"Mirror","https://whitelist.mirror.finance/icon/AAPL.png","terra1vxtwu4ehgzz77mnfwrntyrmgl64qjs75mpwqaz","terra16vfxm98rxlc8erj4g0sj5932dvylgmdufnugk0",
"mABNB",,"Mirror","https://whitelist.mirror.finance/icon/ABNB.png","terra1g4x2pzmkc9z3mseewxf758rllg08z3797xly0n","terra1avryzxnsn2denq7p2d7ukm6nkck9s0rz2llgnc",
"mAMC",,"Mirror","https://whitelist.mirror.finance/icon/AMC.png","terra1qelfthdanju7wavc5tq0k5r0rhsyzyyrsn09qy","terra1zeyfhurlrun6sgytqfue555e6vw2ndxt2j7jhd",
"mAMD",,"Mirror","https://whitelist.mirror.finance/icon/AMD.png","terra18ej5nsuu867fkx4tuy2aglpvqjrkcrjjslap3z",,
"mAMZN",,"Mirror","https://whitelist.mirror.finance/icon/AMZN.png","terra165nd2qmrtszehcfrntlplzern7zl4ahtlhd5t2","terra12saaecsqwxj04fn0jsv4jmdyp6gylptf5tksge",
"mARKK",,"Mirror","https://whitelist.mirror.finance/icon/ARKK.png","terra1qqfx5jph0rsmkur2zgzyqnfucra45rtjae5vh6","terra1qk0cd8576fqf33paf40xy3rt82p7yluwtxz7qx",
"mBABA",,"Mirror","https://whitelist.mirror.finance/icon/BABA.png","terra1w7zgkcyt7y4zpct9dw8mw362ywvdlydnum2awa","terra15dr4ah3kha68kam7a907pje9w6z2lpjpnrkd06",
"mBTC",,"Mirror","https://whitelist.mirror.finance/icon/BTC.png","terra1rhhvx8nzfrx5fufkuft06q5marfkucdqwq5sjw","terra1csr22xvxs6r3gkjsl7pmjkmpt39mwjsrm0e2r8",
"mCOIN",,"Mirror","https://whitelist.mirror.finance/icon/COIN.png","terra18wayjpyq28gd970qzgjfmsjj7dmgdk039duhph","terra1qre9crlfnulcg0m68qqywqqstplgvrzywsg3am",
"mDOT",,"Mirror","https://whitelist.mirror.finance/icon/DOT.png","terra19ya4jpvjvvtggepvmmj6ftmwly3p7way0tt08r",,
"mETH",,"Mirror","https://whitelist.mirror.finance/icon/ETH.png","terra1dk3g53js3034x4v5c3vavhj2738une880yu6kx","terra1ys4dwwzaenjg2gy02mslmc96f267xvpsjat7gx",
"mFB",,"Mirror","https://whitelist.mirror.finance/icon/FB.png","terra1mqsjugsugfprn3cvgxsrr8akkvdxv2pzc74us7","terra14gq9wj0tt6vu0m4ec2tkkv4ln3qrtl58lgdl2c",
"mGLXY",,"Mirror","https://whitelist.mirror.finance/icon/GLXY.png","terra1l5lrxtwd98ylfy09fn866au6dp76gu8ywnudls",,
"mGME",,"Mirror","https://whitelist.mirror.finance/icon/GME.png","terra1m6j6j9gw728n82k78s0j9kq8l5p6ne0xcc820p","terra104tgj4gc3pp5s240a0mzqkhd3jzkn8v0u07hlf",
"mGOOGL",,"Mirror","https://whitelist.mirror.finance/icon/GOOGL.png","terra1h8arz2k547uvmpxctuwush3jzc8fun4s96qgwt","terra1qg9ugndl25567u03jrr79xur2yk9d632fke3h2",
"mGS",,"Mirror","https://whitelist.mirror.finance/icon/GS.png","terra137drsu8gce5thf6jr5mxlfghw36rpljt3zj73v","terra13myzfjdmvqkama2tt3v5f7quh75rv78w8kq6u6",
"mHOOD",,"Mirror","https://whitelist.mirror.finance/icon/HOOD.png","terra18yqdfzfhnguerz9du5mnvxsh5kxlknqhcxzjfr",,
"mIAU (Delisted)",,"Mirror","https://whitelist.mirror.finance/icon/IAU.png","terra15hp9pr8y4qsvqvxf3m4xeptlk7l8h60634gqec","terra19dl29dpykvzej8rg86mjqg8h63s9cqvkknpclr",
"mIAU",,"Mirror","https://whitelist.mirror.finance/icon/IAU.png","terra10h7ry7apm55h4ez502dqdv9gr53juu85nkd4aq","terra1p50j2k5vyw3q2tgywqvxyz59z8csh9p7x8dk5m",
"mMSFT",,"Mirror","https://whitelist.mirror.finance/icon/MSFT.png","terra1227ppwxxj3jxz8cfgq00jgnxqcny7ryenvkwj6","terra12s2h8vlztjwu440khpc0063p34vm7nhu25w4p9",
"mNFLX",,"Mirror","https://whitelist.mirror.finance/icon/NFLX.png","terra1jsxngqasf2zynj5kyh0tgq9mj3zksa5gk35j4k","terra1djnlav60utj06kk9dl7defsv8xql5qpryzvm3h",
"mQQQ",,"Mirror","https://whitelist.mirror.finance/icon/QQQ.png","terra1csk6tc7pdmpr782w527hwhez6gfv632tyf72cp","terra18yx7ff8knc98p07pdkhm3u36wufaeacv47fuha",
"mSLV",,"Mirror","https://whitelist.mirror.finance/icon/SLV.png","terra1kscs6uhrqwy6rx5kuw5lwpuqvm3t6j2d6uf2lp","terra1fdkfhgk433tar72t4edh6p6y9rmjulzc83ljuw",
"mSPY",,"Mirror","https://whitelist.mirror.finance/icon/SPY.png","terra1aa00lpfexyycedfg5k2p60l9djcmw0ue5l8fhc","terra15t9afkpj0wnh8m74n8n2f8tspkn7r65vnru45s",
"mSQ",,"Mirror","https://whitelist.mirror.finance/icon/SQ.png","terra1u43zu5amjlsgty5j64445fr9yglhm53m576ugh",,
"mTSLA",,"Mirror","https://whitelist.mirror.finance/icon/TSLA.png","terra14y5affaarufk3uscy2vr6pe6w6zqf2wpjzn5sh","terra1nslem9lgwx53rvgqwd8hgq7pepsry6yr3wsen4",
"mTWTR",,"Mirror","https://whitelist.mirror.finance/icon/TWTR.png","terra1cc3enj9qgchlrj34cnzhwuclc4vl2z3jl7tkqg","terra1ax7mhqahj6vcqnnl675nqq2g9wghzuecy923vy",
"mUSO",,"Mirror","https://whitelist.mirror.finance/icon/USO.png","terra1lvmx8fsagy70tv0fhmfzdw9h6s3sy4prz38ugf","terra1fucmfp8x4mpzsydjaxyv26hrkdg4vpdzdvf647",
"mVIXY",,"Mirror","https://whitelist.mirror.finance/icon/VIXY.png","terra19cmt6vzvhnnnfsmccaaxzy2uaj06zjktu6yzjx","terra18gphn8r437p2xmjpw7a79hgsglf5y4t0x7s5ee",
"mVIXY (Delisted)",,"Mirror","https://whitelist.mirror.finance/icon/VIXY.png","terra1zp3a6q6q4953cz376906g5qfmxnlg77hx3te45","terra1z0k7nx0vl85hwpv3e3hu2cyfkwq07fl7nqchvd",
"LOTA","LOTA Token","LoTerra","https://loterra.io/LOTA.png","terra1ez46kxtulsdv07538fh5ra5xj8l68mu8eg24vr","terra1v000amr8a59r88p33ec2kk9xqe047g7zzqqaf4",
"MINE",,"Pylon","https://assets.pylon.rocks/logo/MINE.png","terra1kcthelkax4j9x8d3ny6sdag0qmxxynl3qtcrpy","terra1lqm5tutr5xcw9d5vc4457exa3ghd4sr9mzwdex",
"SPEC",,"Spectrum","https://terra.spec.finance/assets/SPEC.png","terra1s5eczhe0h0jutf46re52x5z4r03c8hupacxmdr","terra1kvsxd94ue6f4rtchv2l6me5k07uh26s7637cza",
"DAN (Meme Token)",,"Dan","https://finder.extraterrestrial.money/images/DAN100.png","terra1vru3mk2ne3jqpwg24wm5mg2356cg5ead0tae2s",,
"LOOP",,"LOOP","https://loop.markets/token/logo2.png","terra1nef5jf6c7js9x6gkntlehgywvjlpytm7pcgkn4",,
"LOOPR",,"LOOP","https://loop.markets/token/logo3.png","terra1jx4lmmke2srcvpjeereetc9hgegp4g5j0p9r2q",,
"PylonDP",,"LOOP","https://loop.markets/token/logo2.png","terra1kdfcxec8qu3qd3kt02h4ysr3a2ez8k6cj2093n",,
"TWD",,"Terraworld","https://finder.extraterrestrial.money/images/TWD100.png","terra19djkaepjjswucys4npd5ltaxgsntl7jf0xz7w6",,
"mKSU",,"Mirror","https://whitelist.mirror.finance/icon/KSU.png",,"terra1qhkjjlqq2lyf2evzserdaqx55nugksjqdpxvru",
"mKSU (Delisted)",,"Mirror","https://whitelist.mirror.finance/icon/KSU.png",,"terra1374w7fkm7tqhd9dt2r5shjk8ly2kum443uennt",
"mLRMR",,"Mirror","https://whitelist.mirror.finance/icon/LRMR.png",,"terra1anw5z9u5l35vxhhqljuygmkupwmafcv0m86kum",
"mLRMR (Delisted)",,"Mirror","https://whitelist.mirror.finance/icon/LRMR.png",,"terra19jdmle3zl99gugmptx8auckc9c2xw7nspyxjvx",
"mRXT (Delisted)",,"Mirror","https://whitelist.mirror.finance/icon/RXT.png",,"terra14vmf4tzg23fxnt9q5wavlp4wtvzzap82hdq402",
"mRXT",,"Mirror","https://whitelist.mirror.finance/icon/RXT.png",,"terra1hvmzhnhxnyhjfnctntnn49a35w6hvygmxvjt7q",
"mWVFC (Delisted)",,"Mirror","https://whitelist.mirror.finance/icon/WVFC.png",,"terra18py95akdje8q8aaukhx65dplh9342m0j884wt4",
"mWVFC",,"Mirror","https://whitelist.mirror.finance/icon/WVFC.png",,"terra1090l5p5v794dpyzr07da72cyexhuc4zag5cuer",
"nLuna","nLuna Token","Nexus","https://terra.nexusprotocol.app/nLuna.svg","terra10f2mt82kjnkxqj2gepgwl637u2w4ue2z5nhz5j"
"nETH","nETH Token","Nexus","https://terra.nexusprotocol.app/nEth.svg","terra178v546c407pdnx5rer3hu8s2c0fc924k74ymnn"
"DPH",,"Digipharm","https://digipharm.io/wp-content/uploads/2021/02/digipharm_etherscan_logo.png","terra17jnhankdfl8vyzj6vejt7ag8uz0cjc9crkl2h7",
"PSI",,"Nexus","https://terra.nexusprotocol.app/assets/psi.png","terra12897djskt9rge8dtmm86w654g7kzckkd698608",
"TFLOKI",,"TFLOKI","https://raw.githubusercontent.com/etfinder/assets/master/extra/icon/60/TFLOKI.png","terra1u2k0nkenw0p25ljsr4ksh7rxm65y466vkdewwj",
"VKR",,"Valkyrie","https://app.valkyrieprotocol.com/icon_vkr.png","terra1dy9kmlm4anr92e42mrkjwzyvfqwz66un00rwr5",
"HALO",,"Angel Protocol","https://angelprotocol.io/favicon.png","terra1w8kvd6cqpsthupsk4l0clwnmek4l3zr7c84kwq","terra1lxlqekpkwjhacljgcfjm7vxul50wqas6yvuc27",
"KUJI",,"Kujira","https://assets.kujira.app/kuji.svg","terra1xfsdgcemqwxp4hhnyk4rle6wr22sseq7j07dnn",
"SDOLLAR",,"Spaceloot","https://raw.githubusercontent.com/etfinder/assets/master/extra/icon/60/SDOLLAR.png","terra1l0y8yg0s86x299nqw0p6fhh7ngex3r4phtjeuq",,2
"PLY",,"PlayNity","https://finder.extraterrestrial.money/images/PLAYNITY60.png","terra13awdgcx40tz5uygkgm79dytez3x87rpg4uhnvu",,
"ASTRO",,"Astroport","https://raw.githubusercontent.com/etfinder/assets/master/extra/icon/60/ASTRO60.png","terra1xj49zyqrwpv5k928jwfpfy2ha668nwdgkwlrg3",
"WHALE",,"White Whale","https://raw.githubusercontent.com/etfinder/assets/master/extra/icon/60/WHALE60.png","terra1php5m8a6qd68z02t3zpw4jv2pj4vgw4wz0t8mz",
